# Four columns of x and y points.
# Column 1 and 2 is Onderdruk and column 3 and 4 and Overdruk.
84.35 60.72 86.57 65.21
77.03 56.4 76.51 59.59
68.91 52.64 68.37 55.85
60.67 49.05 60.39 51.05
53.21 44.88 51.41 45.75
45.27 40.74 44.61 41.21
36.12 35.65 37.71 38.82
28.78 31.06 26.51 30.28
19.49 23.84 20.04 25.59
9.35 14.95 9.86 15.52
